,LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,RED_LIGHT_CAMERA_IND,COUNT,LATITUDE,LONGITUDE
47,7159.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY CABRAMATTA SOUTHBOUND,,Y,144,-33.898126,150.9202186
48,7160.0,Red Light / Speed Camera,BUNGARRIBEE ROAD BLACKTOWN EASTBOUND,,Y,182,-33.7763873,150.8991309
49,7161.0,Red Light / Speed Camera,PENNANT HILLS ROAD PENNANT HILLS  WESTBOUND,Y,Y,119,-33.7394846,151.0733379
50,7162.0,Red Light / Speed Camera,THE KINGSWAY CARINGBAH WESTBOUND,,Y,156,-34.0434611,151.1259116
51,7163.0,Red Light / Speed Camera,VICTORIA ROAD ROZELLE EASTBOUND,,Y,113,-33.8638872,151.1702411
52,7164.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY WENTWORTHVILLE EASTBOUND,,Y,167,-33.8154984,150.96956
53,7165.0,Red Light / Speed Camera,PENNANT HILLS ROAD WEST PENNANT HILLS  NORTHBOUND,,Y,122,-33.7394846,151.0733379
54,7166.0,Red Light / Speed Camera,HAMILTON ROAD FAIRFIELD WESTBOUND,,Y,159,-33.8738561,150.9538397
55,7167.0,Red Light / Speed Camera,CANTERBURY ROAD CAMPSIE WESTBOUND,,Y,141,-33.9194418,151.0983962
56,7168.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY BLACKTOWN WESTBOUND,,Y,134,-33.799968,150.9027097
57,7169.0,Red Light / Speed Camera,KING GEORGES ROAD ROSELANDS NORTHBOUND,,Y,225,-33.9335912,151.0733999
58,7170.0,Red Light / Speed Camera,NEWTON ROAD BLACKTOWN WESTBOUND,Y,Y,220,-33.7727801,150.9016754
59,7171.0,Red Light / Speed Camera,DOBROYD PARADE HABERFIELD WESTBOUND,,Y,213,-33.870155,151.147959
60,7173.0,Red Light / Speed Camera,WOODVILLE ROAD GUILDFORD NORTHBOUND,,Y,118,-33.85912830000001,150.9938557
61,7174.0,Red Light / Speed Camera,PACIFIC HIGHWAY CROWS NEST NORTHBOUND,Y,Y,102,-33.8302819,151.203424
62,7175.0,Red Light / Speed Camera,BESTIC STREET ROCKDALE WESTBOUND,,Y,196,-33.949432,151.1467864
63,7176.0,Red Light / Speed Camera,HUME HIGHWAY WARWICK FARM WESTBOUND,Y,Y,109,-33.9028829,150.9428318
64,7177.0,Red Light / Speed Camera,PENNANT HILLS ROAD THORNLEIGH NORTHBOUND,,Y,201,-33.7240195,151.0870498
65,7178.0,Red Light / Speed Camera,ANZAC PARADE MOORE PARK SOUTHBOUND,Y,Y,221,-33.896277,151.220519
