LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_IND,COUNT
7110.0,Red Light / Speed Camera,KELLICAR ROAD CAMPBELLTOWN EASTBOUND,,Y,84
7111.0,Red Light / Speed Camera,KELLICAR ROAD CAMPBELLTOWN WESTBOUND,,Y,112
7112.0,Red Light / Speed Camera,SILVERWATER ROAD AUBURN NORTHBOUND,,Y,165
7113.0,Red Light / Speed Camera,SILVERWATER ROAD SILVERWATER SOUTHBOUND,,Y,149
7114.0,Red Light / Speed Camera,CANTERBURY ROAD WILEY PARK EASTBOUND,,Y,181
7115.0,Red Light / Speed Camera,CANTERBURY ROAD ROSELANDS WESTBOUND,,Y,174
7118.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY WESTMEAD EASTBOUND,,Y,326
7119.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY MERRYLANDS WESTBOUND,,Y,287
7120.0,Red Light / Speed Camera,SOUTH DOWLING STREET SURRY HILLS NORTHBOUND,,Y,249
7121.0,Red Light / Speed Camera,SOUTH DOWLING STREET PADDINGTON SOUTHBOUND,,Y,227
7122.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY ST MARYS EASTBOUND,,Y,392
7123.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY ST MARYS WESTBOUND,,Y,359
7124.0,Red Light / Speed Camera,WALDRON ROAD CHESTER HILL  EASTBOUND,,Y,122
7125.0,Red Light / Speed Camera,WALDRON ROAD SEFTON WESTBOUND,,Y,145
7126.0,Red Light / Speed Camera,KINGSWAY MIRANDA EASTBOUND,,Y,153
7127.0,Red Light / Speed Camera,WOODVILLE ROAD VILLAWOOD SOUTHBOUND,,Y,280
7128.0,Red Light / Speed Camera,HENRY LAWSON DRIVE LANSDOWNE NORTHBOUND,,Y,224
7129.0,Red Light / Speed Camera,PARRAMATTA ROAD CONCORD EASTBOUND,,Y,301
7130.0,Red Light / Speed Camera,PARRAMATTA ROAD BURWOOD WESTBOUND,,Y,334
7131.0,Red Light / Speed Camera,PRINCES HIGHWAY ROCKDALE SOUTHBOUND,,Y,93
7132.0,Red Light / Speed Camera,PRINCES HIGHWAY ROCKDALE NORTHBOUND,,Y,142
7139.0,Red Light / Speed Camera,CRAIGEND STREET DARLINGHURST WESTBOUND,,Y,530
7140.0,Red Light / Speed Camera,ANZAC PARADE MOORE PARK NORTHBOUND,,Y,220
7141.0,Red Light / Speed Camera,FLINDERS STREET PADDINGTON SOUTHBOUND,,Y,143
7144.0,Red Light / Speed Camera,WOODVILLE ROAD GRANVILLE NORTHBOUND,,Y,273
7145.0,Red Light / Speed Camera,WINDSOR ROAD BAULKHAM HILLS WESTBOUND,,Y,206
7146.0,Red Light / Speed Camera,WINDSOR ROAD BAULKHAM HILLS EASTBOUND,,Y,199
7148.0,Red Light / Speed Camera,HUME HIGHWAY LIVERPOOL SOUTHBOUND,,Y,263
7149.0,Red Light / Speed Camera,NEWBRIDGE ROAD MILPERRA EASTBOUND,,Y,181
7150.0,Red Light / Speed Camera,SHOWGROUND ROAD CASTLE HILL WESTBOUND,,Y,293
7151.0,Red Light / Speed Camera,MOORE PARK ROAD PADDINGTON EASTBOUND,,Y,240
7153.0,Red Light / Speed Camera,OLYMPIC DRIVE LIDCOMBE NORTHBOUND,,Y,185
7154.0,Red Light / Speed Camera,ARTHUR STREET STRATHFIELD EASTBOUND,,Y,66
7156.0,Red Light / Speed Camera,PARRAMATTA ROAD PETERSHAM WESTBOUND,,Y,303
7158.0,Red Light / Speed Camera,O'RIORDAN STREET MASCOT NORTHBOUND,,Y,58
7159.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY CABRAMATTA SOUTHBOUND,,Y,157
7160.0,Red Light / Speed Camera,BUNGARRIBEE ROAD BLACKTOWN EASTBOUND,,Y,135
7161.0,Red Light / Speed Camera,PENNANT HILLS ROAD PENNANT HILLS  WESTBOUND,Y,Y,822
7162.0,Red Light / Speed Camera,THE KINGSWAY CARINGBAH WESTBOUND,,Y,204
7163.0,Red Light / Speed Camera,VICTORIA ROAD ROZELLE EASTBOUND,,Y,370
7164.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY WENTWORTHVILLE EASTBOUND,,Y,156
7165.0,Red Light / Speed Camera,PENNANT HILLS ROAD WEST PENNANT HILLS  NORTHBOUND,,Y,175
7166.0,Red Light / Speed Camera,HAMILTON ROAD FAIRFIELD WESTBOUND,,Y,216
7167.0,Red Light / Speed Camera,CANTERBURY ROAD CAMPSIE WESTBOUND,,Y,183
7168.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY BLACKTOWN WESTBOUND,,Y,154
7169.0,Red Light / Speed Camera,KING GEORGES ROAD ROSELANDS NORTHBOUND,,Y,359
7170.0,Red Light / Speed Camera,NEWTON ROAD BLACKTOWN WESTBOUND,Y,Y,340
7171.0,Red Light / Speed Camera,DOBROYD PARADE HABERFIELD WESTBOUND,,Y,386
7173.0,Red Light / Speed Camera,WOODVILLE ROAD GUILDFORD NORTHBOUND,,Y,151
7174.0,Red Light / Speed Camera,PACIFIC HIGHWAY CROWS NEST NORTHBOUND,,Y,161
7175.0,Red Light / Speed Camera,BESTIC STREET ROCKDALE WESTBOUND,,Y,37
7176.0,Red Light / Speed Camera,HUME HIGHWAY WARWICK FARM WESTBOUND,,Y,179
7177.0,Red Light / Speed Camera,PENNANT HILLS ROAD THORNLEIGH NORTHBOUND,,Y,227
7178.0,Red Light / Speed Camera,ANZAC PARADE MOORE PARK SOUTHBOUND,,Y,116
7179.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY SOUTH WENTWORTHVILLE SOUTHBOUND,,Y,128
7180.0,Red Light / Speed Camera,FREDERICK STREET ASHFIELD SOUTHBOUND,,Y,188
7181.0,Red Light / Speed Camera,NEWBRIDGE ROAD MOOREBANK WESTBOUND,,Y,277
7182.0,Red Light / Speed Camera,OLD WINDSOR ROAD NORTHMEAD EASTBOUND,,Y,352
7183.0,Red Light / Speed Camera,FOREST ROAD BEXLEY SOUTHBOUND,,Y,86
7184.0,Red Light / Speed Camera,RYDE ROAD WEST PYMBLE SOUTHBOUND,,Y,525
7185.0,Red Light / Speed Camera,WICKS ROAD NORTH RYDE  NORTHBOUND,,Y,42
7186.0,Red Light / Speed Camera,FAIRLIGHT STREET FIVE DOCK EASTBOUND,,Y,14
7188.0,Red Light / Speed Camera,WATTLE STREET ULTIMO NORTHBOUND,,Y,386
