LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,RED_LIGHT_CAMERA_IND,COUNT
7174.0,Red Light / Speed Camera,PACIFIC HIGHWAY CROWS NEST NORTHBOUND,Y,Y,102
7175.0,Red Light / Speed Camera,BESTIC STREET ROCKDALE WESTBOUND,,Y,196
7176.0,Red Light / Speed Camera,HUME HIGHWAY WARWICK FARM WESTBOUND,Y,Y,109
7177.0,Red Light / Speed Camera,PENNANT HILLS ROAD THORNLEIGH NORTHBOUND,,Y,201
7178.0,Red Light / Speed Camera,ANZAC PARADE MOORE PARK SOUTHBOUND,Y,Y,221
7179.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY SOUTH WENTWORTHVILLE SOUTHBOUND,,Y,200
7180.0,Red Light / Speed Camera,FREDERICK STREET ASHFIELD SOUTHBOUND,,Y,220
7181.0,Red Light / Speed Camera,NEWBRIDGE ROAD MOOREBANK WESTBOUND,,Y,117
7182.0,Red Light / Speed Camera,OLD WINDSOR ROAD NORTHMEAD EASTBOUND,,Y,166
7183.0,Red Light / Speed Camera,FOREST ROAD BEXLEY SOUTHBOUND,,Y,118
7184.0,Red Light / Speed Camera,RYDE ROAD WEST PYMBLE SOUTHBOUND,,Y,74
7185.0,Red Light / Speed Camera,WICKS ROAD NORTH RYDE  NORTHBOUND,,Y,200
7186.0,Red Light / Speed Camera,FAIRLIGHT STREET FIVE DOCK EASTBOUND,,Y,166
7188.0,Red Light / Speed Camera,WATTLE STREET ULTIMO NORTHBOUND,,Y,150
7190.0,Red Light / Speed Camera,O'RIORDAN STREET MASCOT SOUTHBOUND,,Y,85
7191.0,Red Light / Speed Camera,PARKER STREET SOUTH PENRITH NORTHBOUND,,Y,94
7192.0,Red Light / Speed Camera,OLD SOUTH HEAD ROAD BONDI JUNCTION WESTBOUND,,Y,245
7193.0,Red Light / Speed Camera,SUNNYHOLT ROAD  BLACKTOWN SOUTHBOUND,,Y,177
7194.0,Red Light / Speed Camera,PITTWATER ROAD DEE WHY SOUTHBOUND,Y,Y,238
7195.0,Red Light / Speed Camera,PARK ROAD KOGARAH BAY NORTHBOUND,,Y,179
7196.0,Red Light / Speed Camera,LANCASTER STREET BLACKTOWN SOUTHBOUND,Y,Y,197
7198.0,Red Light / Speed Camera,ACACIA ROAD  KIRRAWEE  SOUTHBOUND,,Y,88
7199.0,Red Light / Speed Camera,AVOCA STREET RANDWICK NORTHBOUND,,Y,75
7200.0,Red Light / Speed Camera,BLAXLAND ROAD EASTWOOD NORTHBOUND,,Y,78
7201.0,Red Light / Speed Camera,VICTORIA STREET SMITHFIELD WESTBOUND,,Y,223
7202.0,Red Light / Speed Camera,SYDENHAM ROAD  MARRICKVILLE  EASTBOUND,,Y,156
7203.0,Red Light / Speed Camera,VICTORIA ROAD RYDE WESTBOUND,,Y,167
7204.0,Red Light / Speed Camera,RYDE ROAD HUNTERS HILL WESTBOUND,,Y,150
